typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE groundViewPercentage firstViewPercentage
0.6 1.8 0.7 2.5 30.5 2 3004.5 0.5 2.7 2.6 7 28.5 21.5 7 5.9 59.9 59.3
0.7 1.8 0.7 2.5 30.6 2 3019 0.5 2.7 2.5 7.1 27.7 21 6.9 5.8 59.3 58.8
0.4 1.4 0.6 1.2 12.8 1.9 1217.3 0.5 2.1 1.7 2 25.3 20.7 6.9 5.2 37.4 37.4
0.7 1.4 0.6 1.4 13.6 2 1275.2 0.5 1.9 1.8 1.8 26.5 21.7 7 5.2 39.3 39
0.5 1.3 0.8 1.6 14.1 1.8 1333.3 0.5 2 1.9 2 27.6 22.4 7.2 5.5 40.7 40.7
0.5 1.4 0.7 1.4 14.4 2.2 1391.6 0.6 2.1 1.7 1.9 28.5 23 7.6 5.8 42.6 42.3
0.5 1.4 0.5 1.5 15 2 1432.4 0.3 2.3 1.7 2.2 29.2 23.8 7.7 5.9 43.8 43.6
0.8 1.6 0.8 1.6 15.4 2 1491.5 0.4 2.3 1.8 2.1 30.3 24.5 7.9 6 45.3 45.4
0.8 1.7 0.8 1.6 16.1 2.3 1549.9 0.5 2.2 2.1 2.2 31.2 25.4 8.2 6 47.2 47.1
0.7 1.4 0.7 1.5 16.4 2.2 1593.5 0.5 2.2 2 2.2 31.9 26 8.3 6.2 48.3 48.2
0.7 1.7 0.7 1.6 17.1 2.4 1650.6 0.5 2.5 2 2.3 33.1 26.9 8.5 6.4 49.8 49.9
0.7 1.7 0.6 1.6 17.7 2.4 1694.6 0.5 2.4 2.1 2.4 33.8 27.4 8.5 6.5 51.3 51.3
0.8 1.6 0.8 1.6 18.3 2.4 1774.6 0.6 2.5 2.3 2.5 34.9 28.1 8.9 6.6 53 53
0.8 1.7 0.6 1.8 19 2.4 1835.2 0.5 2.7 2.2 2.6 36 29.1 9.1 6.9 54.9 54.8
0.7 1.7 0.6 1.8 19.6 2.6 1901.5 0.5 2.7 2.3 2.7 36.8 29.7 9.4 7.1 56.3 56.4
0.6 1.8 0.7 1.9 20.2 2.5 1959.2 0.5 2.7 2.3 2.8 37.5 30.2 9.5 7.2 57.6 57.6
0.6 1.9 0.6 1.9 20.7 2.7 2007.9 0.5 2.8 2.3 2.9 38.1 30.6 9.5 7.3 58.8 58.7
0.7 1.8 0.7 1.8 21.1 2.6 2048.4 0.5 2.7 2.4 3 38.4 30.9 9.6 7.4 59.6 59.6
0.7 1.8 0.6 1.8 21.5 2.7 2082.3 0.5 2.8 2.4 3 38.7 31.1 9.5 7.4 60.2 60.3
0.7 1.9 0.7 2 21.7 2.7 2114.5 0.6 2.8 2.4 3.2 39 31.3 9.7 7.5 60.8 60.9
0.7 1.9 0.7 1.9 22.1 2.7 2155.8 0.5 2.8 2.4 3.2 39 31.3 9.7 7.5 61.3 61.3
0.7 1.8 0.7 1.9 22.5 2.7 2187.2 0.5 2.8 2.5 3.4 38.9 31.1 9.6 7.5 61.5 61.5
0.7 1.9 0.7 2 22.9 2.7 2222.5 0.5 2.8 2.5 3.5 38.6 30.9 9.5 7.4 61.6 61.6
0.7 1.9 0.7 2 23.2 2.7 2262.8 0.5 2.9 2.5 3.6 38.3 30.6 9.4 7.4 61.7 61.7
0.7 1.9 0.7 2 23.6 2.6 2307 0.5 2.8 2.5 3.8 37.9 30.2 9.4 7.3 61.8 61.8
0.7 1.9 0.7 2.1 24.2 2.6 2354.6 0.5 2.9 2.5 4 37.5 29.8 9.3 7.2 61.9 61.8
0.7 1.9 0.7 2.1 24.6 2.6 2403.8 0.5 2.8 2.5 4.2 37 29.4 9.2 7.2 62 61.8
0.7 1.9 0.7 2.1 25.1 2.5 2453.7 0.5 2.8 2.5 4.4 36.6 29 9 7.1 62.1 61.9
0.7 1.9 0.7 2.1 25.6 2.5 2503.1 0.5 2.8 2.5 4.6 36.2 28.6 8.9 7.1 62.2 62
0.7 1.9 0.7 2.2 26 2.5 2551.2 0.5 2.9 2.6 4.8 35.7 28.2 8.8 7 62.2 62.1
0.6 1.8 0.7 2.2 26.4 2.5 2585.6 0.5 2.8 2.6 5 35.4 27.8 8.8 7 62.3 62
0.6 1.9 0.7 2.2 26.6 2.5 2608.1 0.5 2.9 2.5 5 35.1 27.6 8.7 6.9 62.3 62
0.7 1.9 0.7 2.2 26.9 2.4 2631 0.5 2.8 2.6 5.2 34.8 27.4 8.6 6.9 62.2 62
0.7 1.9 0.7 2.3 27.1 2.4 2654.2 0.5 2.8 2.5 5.3 34.6 27.1 8.6 6.8 62.2 61.9
0.7 1.9 0.7 2.2 27.3 2.4 2677.8 0.5 2.9 2.6 5.4 34.3 26.9 8.5 6.8 62.2 61.9
0.7 1.9 0.7 2.3 27.6 2.4 2701.7 0.5 2.9 2.5 5.5 34.1 26.6 8.5 6.8 62.2 61.9
0.7 1.9 0.7 2.2 27.8 2.4 2725.7 0.5 2.8 2.6 5.5 33.8 26.5 8.4 6.8 62.2 61.8
0.6 1.9 0.7 2.3 28 2.4 2749.9 0.5 2.8 2.5 5.7 33.5 26.2 8.4 6.7 62.2 61.8
0.7 1.9 0.7 2.3 28.3 2.3 2774.1 0.5 2.8 2.6 5.7 33.3 26 8.3 6.7 62.2 61.8
0.7 1.9 0.7 2.3 28.5 2.3 2798.2 0.5 2.8 2.5 5.8 33.1 25.7 8.3 6.6 62.2 61.8
0.6 1.8 0.7 2.3 28.7 2.3 2821.9 0.5 2.8 2.5 5.9 32.8 25.5 8.2 6.6 62.2 61.8
0.7 1.8 0.7 2.4 28.9 2.3 2845 0.5 2.8 2.5 6.1 32.6 25.3 8.1 6.6 62.2 61.9
0.7 1.9 0.7 2.3 29.2 2.3 2867.3 0.5 2.8 2.6 6.1 32.3 25.1 8.1 6.6 62.3 61.9
0.7 1.9 0.7 2.4 29.4 2.2 2888.6 0.5 2.8 2.6 6.2 32.1 24.9 8 6.5 62.3 61.8
0.7 1.9 0.7 2.4 29.6 2.3 2908.4 0.5 2.8 2.6 6.3 32 24.7 8 6.5 62.3 61.9
0.7 1.9 0.7 2.3 29.8 2.3 2932.6 0.5 2.8 2.6 6.4 31.7 24.4 7.9 6.5 62.2 61.8
0.7 1.8 0.7 2.4 30.2 2.2 2968.2 0.5 2.8 2.5 6.6 31.1 23.9 7.7 6.4 62.1 61.6
0.7 1.9 0.7 2.4 30.5 2.2 2995.7 0.5 2.8 2.6 6.7 30.7 23.5 7.7 6.4 61.9 61.4
0.7 1.9 0.7 2.4 30.6 2.1 3017.6 0.5 2.8 2.6 6.9 29.7 22.6 7.3 6.1 61.3 60.8
0.7 1.9 0.7 2.5 30.9 2.1 3039.2 0.5 2.8 2.5 7 29.2 22.3 7.2 6 61.1 60.6
0.7 1.8 0.6 2.5 31.2 2.1 3062.9 0.5 2.7 2.5 7.1 28.6 21.7 7.1 6 60.7 60.1
0.7 1.8 0.7 2.5 31.3 2 3074.7 0.5 2.7 2.6 7.1 28.2 21.3 6.9 5.9 60.4 59.8
0.6 1.2 0.5 1.4 13 1.7 1233.3 0.6 1.9 1.5 1.6 25.7 20.8 7.1 5.3 38.1 38
0.5 1.2 0.6 1.2 13.5 2.1 1292.8 0.6 2 1.8 1.8 26.6 21.9 7.3 5.2 39.6 39.5
0.6 1.5 0.5 1.4 14 2.1 1352.6 0.6 2.1 1.8 2.1 27.6 22.7 7.4 5.5 41.3 41.2
0.6 1.5 0.6 1.4 14.6 2 1413.2 0.6 2.1 1.9 1.9 28.8 23.6 7.7 5.6 43.1 43.2
0.5 1.4 0.6 1.4 15.1 2 1456.1 0.5 2.3 1.9 2.1 29.6 24.2 7.8 6 44.3 44.3
0.8 1.5 0.7 1.6 15.8 2.1 1517.8 0.5 2.3 1.9 2.1 30.7 25 8.1 6.2 46.2 46.1
0.6 1.5 0.7 1.7 16.3 2.2 1578.9 0.4 2.2 2.1 2.3 31.7 25.8 8.2 6.1 47.8 47.9
0.7 1.6 0.6 1.5 17.1 2.4 1639.2 0.5 2.4 1.9 2.2 33 26.6 8.5 6.4 49.7 49.6
0.5 1.7 0.6 1.6 17.5 2.3 1687.3 0.6 2.4 2.1 2.4 33.7 27.3 8.5 6.7 50.9 50.9
0.6 1.6 0.6 1.7 18.1 2.4 1741.5 0.5 2.6 2.1 2.3 35 28.5 9.1 6.7 52.8 52.9
0.6 1.7 0.6 1.8 19.1 2.5 1838.7 0.5 2.6 2.2 2.6 36.1 29.2 9.3 7 55 54.9
0.7 1.7 0.7 1.8 19.4 2.5 1881.1 0.5 2.7 2.3 2.7 36.9 29.8 9.4 7.2 56.3 56.2
0.6 1.8 0.6 1.8 20.2 2.6 1961.4 0.5 2.7 2.3 2.8 37.8 30.5 9.5 7.3 58 58
0.6 1.9 0.7 1.8 20.8 2.7 2016.9 0.5 2.8 2.4 2.8 38.5 30.9 9.6 7.4 59.3 59.3
0.7 1.9 0.7 1.9 21.3 2.7 2062.1 0.5 2.8 2.4 2.9 39 31.3 9.6 7.5 60.3 60.4
0.7 1.9 0.7 1.9 21.6 2.7 2100.1 0.5 2.8 2.5 3 39.6 31.8 9.8 7.6 61.3 61.3
0.7 1.9 0.7 1.9 21.9 2.7 2128.4 0.5 2.8 2.5 3.1 39.8 32 9.8 7.6 61.9 61.9
0.7 1.9 0.7 1.9 22.2 2.8 2162.4 0.5 2.9 2.5 3.2 39.9 32 9.8 7.6 62.3 62.3
0.7 1.9 0.7 2 22.5 2.8 2186.9 0.5 2.9 2.5 3.2 39.8 31.9 9.7 7.5 62.5 62.5
0.7 1.9 0.7 2 22.8 2.7 2214.6 0.5 2.9 2.5 3.4 39.6 31.7 9.7 7.6 62.6 62.6
0.7 1.9 0.7 2 23.1 2.7 2248 0.5 2.9 2.5 3.5 39.2 31.4 9.7 7.5 62.6 62.6
0.7 1.9 0.7 2 23.5 2.7 2287.5 0.5 2.8 2.5 3.7 38.9 31 9.5 7.4 62.6 62.6
0.7 1.9 0.7 2 24 2.6 2347.5 0.5 2.8 2.5 3.9 38.4 30.5 9.4 7.4 62.7 62.7
0.7 1.9 0.7 2.1 24.5 2.6 2395.7 0.5 2.9 2.5 4.1 37.9 30.1 9.3 7.3 62.8 62.7
0.7 1.9 0.7 2.1 25 2.6 2445.3 0.5 2.9 2.5 4.3 37.4 29.6 9.2 7.3 62.8 62.7
0.7 1.9 0.7 2.2 25.5 2.6 2494.9 0.5 2.9 2.5 4.5 36.9 29.2 9.1 7.2 62.8 62.7
0.7 1.9 0.7 2.2 25.9 2.5 2530.5 0.5 2.9 2.6 4.7 36.5 28.8 9 7.2 62.8 62.7
0.7 1.9 0.7 2.2 26.4 2.5 2579 0.5 2.9 2.5 4.9 36.1 28.4 8.9 7.1 62.9 62.7
0.7 1.9 0.7 2.2 26.6 2.5 2602.5 0.5 2.8 2.5 5 35.8 28.1 8.8 7 62.8 62.6
0.7 1.9 0.7 2.2 26.8 2.5 2630 0.5 2.8 2.6 5.1 35.6 28 8.8 7.1 63 62.7
0.7 1.9 0.7 2.2 27.1 2.4 2650.7 0.5 2.8 2.6 5.1 35.2 27.6 8.7 6.9 62.8 62.5
0.7 1.9 0.7 2.3 27.3 2.5 2675.5 0.5 2.9 2.6 5.3 34.9 27.3 8.6 6.9 62.7 62.5
0.7 1.9 0.7 2.2 27.5 2.4 2700.6 0.5 2.9 2.6 5.4 34.6 27.1 8.6 6.8 62.8 62.5
0.7 1.9 0.7 2.3 27.8 2.4 2726.1 0.5 2.8 2.6 5.5 34.3 26.8 8.5 6.9 62.7 62.4
0.7 1.9 0.7 2.3 28 2.4 2751.9 0.5 2.8 2.6 5.6 34 26.6 8.4 6.8 62.7 62.4
0.7 1.9 0.7 2.3 28.3 2.4 2778 0.5 2.9 2.6 5.7 33.8 26.3 8.4 6.7 62.7 62.4
0.7 1.9 0.7 2.3 28.5 2.3 2804.1 0.5 2.8 2.6 5.8 33.5 26.1 8.3 6.7 62.7 62.4
0.7 1.9 0.7 2.3 28.8 2.4 2830.2 0.5 2.8 2.6 6 33.2 25.9 8.2 6.7 62.8 62.4
0.7 1.9 0.7 2.3 29 2.4 2856 0.5 2.8 2.6 6.1 33 25.6 8.2 6.7 62.8 62.4
0.7 1.9 0.7 2.3 29.3 2.3 2881.4 0.5 2.9 2.6 6.1 32.8 25.4 8.1 6.6 62.8 62.5
0.7 1.9 0.7 2.4 29.5 2.3 2905.9 0.5 2.9 2.6 6.2 32.5 25.2 8.1 6.6 62.8 62.4
0.7 1.9 0.7 2.4 29.8 2.3 2929.3 0.5 2.8 2.6 6.3 32.3 25 8 6.6 62.9 62.5
0.7 1.9 0.7 2.4 30.1 2.3 2951.4 0.5 2.8 2.6 6.4 32.1 24.8 8 6.6 62.9 62.5
0.7 1.9 0.7 2.4 30.3 2.2 2978.1 0.5 2.9 2.6 6.5 31.8 24.5 7.9 6.5 62.9 62.4
0.7 1.9 0.7 2.4 30.6 2.2 3010 0.5 2.9 2.6 6.7 31.4 24.1 7.8 6.4 62.8 62.3
0.7 1.9 0.7 2.5 30.9 2.2 3040 0.5 2.8 2.6 6.8 30.9 23.7 7.7 6.4 62.7 62.2
0.7 1.9 0.7 2.4 31.3 2.1 3075.1 0.5 2.9 2.6 7 30.4 23.2 7.6 6.3 62.5 62
0.7 1.8 0.7 2.5 31.5 2.2 3098.7 0.5 2.8 2.6 7.1 29.7 22.6 7.3 6.2 62.1 61.6
0.6 1.9 0.7 2.5 31.7 2.1 3116.2 0.5 2.7 2.6 7.3 28.9 22 7 6 61.6 61.1
0.7 1.8 0.6 2.5 31.8 2.1 3136.7 0.5 2.8 2.6 7.4 28.3 21.3 6.9 5.9 61.2 60.7
0.7 1.4 0.7 1.5 13.3 1.7 1269.3 0.4 2 1.6 2 26.5 21.3 7.2 5.2 39.2 38.9
0.8 1.4 0.6 1.6 13.7 2.1 1309 0.4 1.9 1.8 1.8 27.1 21.9 7.3 5.4 40.1 40
0.6 1.5 0.5 1.5 14.5 1.9 1389.4 0.5 2 1.9 2.1 28.6 23.2 7.4 5.7 42.4 42.3
0.7 1.3 0.6 1.6 14.8 2.1 1432.9 0.5 2.1 1.9 2.1 29.2 23.8 7.8 5.8 43.8 43.8
0.5 1.5 0.7 1.5 15.5 2.1 1495 0.5 2.2 1.9 2 30.3 24.7 8 6 45.5 45.6
