typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE groundViewPercentage firstViewPercentage
1 1 0.9 1 2.6 0.7 195.3 0.2 0.7 1 0.5 11.5 10.8 6.2 3.8 10.7 10.2
0.6 0.4 0.4 0.4 2.9 0.9 224.9 0.7 1.2 1.2 1.1 11.9 11.3 6.8 3.7 11.5 10.4
0.7 0.6 0.2 0.4 3 0.4 268.8 0.2 1.3 0.7 0.7 12.3 11.3 6.6 4 12.5 11.8
0.7 1.1 0.7 1 3.3 0.3 299.3 0.4 0.8 1 0.9 13.3 12.1 6.8 3.9 13.7 12.4
0.5 0.7 0.3 0.8 3.5 1 319.6 0.2 0.9 0.9 0.9 13.4 12.3 7.6 3.6 13.3 12.6
0.2 0.8 0.8 0.6 3.6 0.6 325 0.9 1.1 1 1.2 13.9 12.5 7.3 4.3 13.9 13.4
0.6 0.6 0.3 0.4 3.8 0.3 344.9 0.8 1.1 1 1.1 14.2 12.8 7.7 3.9 14.5 13.3
1 1.1 0.2 0.4 3.9 0.3 365.6 0.7 0.9 0.8 0.8 14.2 13.2 7.3 4.1 14.7 14.2
0.4 1 0.8 0.5 4.3 0.7 377.4 0.7 0.9 1.2 1.1 14.3 13.6 8 4.1 15.7 14
0.4 1 0.3 1 4.5 0.5 411.2 0.5 1.3 1.1 1 15.1 13.9 8 4.7 16.2 15.4
0.5 0.8 0.7 0.5 4.5 0.6 412.6 0.6 1.1 0.7 1.3 15.4 13.8 8.2 4.6 16.4 15.6
0.8 0.9 0.3 0.6 5.2 0.7 432.7 0.8 1.2 1.3 1.5 15.4 14.1 8.1 4.4 16.8 15.4
0.5 1.1 0.4 0.5 5.3 0.7 444.8 0.4 1.2 0.7 1.2 16 14 7.9 4.4 17.1 16.2
0.6 0.6 0.4 0.8 5.1 1.1 477.8 0.4 1.1 1.1 1.6 16.4 15.2 8.9 4.4 18.3 16.7
0.3 1.1 0.4 1.1 5.7 0.5 497.4 0.2 1.7 1 1.2 17.1 14.9 8.8 4.6 18.6 17.7
0.8 0.6 0.5 1.1 5.8 1.1 500 0.8 1.8 1.4 1.4 16.6 15.3 8.5 4.5 18.1 17.1
0.9 0.9 0.4 1.3 6 1.1 540.9 0.5 1.6 1.1 1.6 17.6 16.3 9.3 4.9 19.5 18.7
0.9 1.2 0.5 0.7 5.6 1.1 543.6 0.2 1.9 1 2 18 15.7 8.7 5.3 20 19
0.7 1 0.5 1.3 5.8 0.6 563 0.6 1.4 1 1.6 17.7 15.7 8.7 5.3 20.3 19.2
0.4 0.7 0.7 1.3 6.4 0.9 575.1 0.9 1.8 1.2 1.4 18.3 16.4 9.2 5.1 20.5 19.7
0.3 1 0.8 1.2 6.7 1 603 0.8 1.8 1.2 1.5 18.7 16.9 9.1 4.8 21.4 19.8
0.8 1 0.3 0.6 7 1.2 625 0.3 1.5 1.2 1.6 19.4 17.4 9.8 5.5 21.9 20.2
0.8 0.7 0.2 0.7 6.7 0.9 627.7 0.4 1.3 0.9 2 18.9 17.3 9.4 5 21.8 20.3
0.6 1.2 0.5 1.3 6.7 1 646.3 0.8 1.5 0.9 2.1 19.4 17.4 9.6 5.2 22.3 21.2
0.6 1.1 0.9 0.8 6.8 0.5 649.4 0.9 1.9 1.4 2.2 19.4 17.2 9.4 5 22 21.2
0.5 1.2 0.5 0.8 7.3 0.9 688 0.5 1.4 1.2 2.1 20.2 17.8 10 5.4 23.2 22.5
0.8 0.8 0.6 1.3 7.2 1.1 691 0.3 1.6 1.5 1.8 20.6 18.3 10.2 5.7 23.3 21.9
0.4 0.9 0.6 1.2 7.8 0.7 708.8 0.9 1.5 1.3 2.2 20.3 18.3 9.8 5.6 23.6 22.5
0.6 1.2 0.8 1.4 7.5 0.6 735.4 0.3 1.5 1.4 2.2 20.5 18.1 10.1 5.3 24.5 22.8
0.5 1.3 0.8 0.9 8.1 0.6 738.7 0.9 1.5 1 1.8 20.8 18.5 10.1 5.7 24.3 23
0.5 1.2 0.6 0.8 7.8 0.8 757.9 0.7 1.9 1.3 2.1 21.1 19 10.6 5.9 24.8 23.7
0.9 1 0.7 0.9 8.1 1.1 769.7 0.3 2 1.5 2 21.2 18.8 10 6.1 25.4 23.6
0.5 0.8 0.5 0.8 8.2 1 803.4 0.8 1.6 1.3 2.5 21.8 19.2 10.3 5.7 25.8 24.6
0.7 0.7 0.9 0.8 8.7 0.6 806.7 0.3 1.6 1.3 2.4 21.6 19.2 10.4 5.8 26.2 25.1
0.7 1.1 0.3 1.1 8.8 1.2 824.3 0.6 1.7 1.2 2.2 22 19.4 10.6 5.6 26.2 24.9
0.6 1.3 0.9 1.5 8.9 0.7 849.4 0.9 2.1 1.2 2.6 22.6 20 10.4 6 27.2 25.8
0.6 1.2 0.4 1.2 9.1 0.7 853.8 0.6 1.8 1.5 2.4 22.5 20 10.9 6.1 27.4 25.7
0.9 1 0.8 1.4 8.9 0.9 869.9 0.7 2.1 1.5 2.6 22.9 20 10.6 5.7 27.6 25.9
0.4 0.9 0.3 1.2 9.3 1.2 874.1 0.6 1.6 1.3 2.4 22.6 19.8 10.7 5.9 27.7 26.3
0.4 1.3 0.9 1.3 9.2 0.8 896.9 0.4 2.1 1.3 2.1 22.9 20.3 10.7 6.2 28 26.8
0.6 0.9 0.7 1.2 9.2 1.1 901.5 0.5 1.7 1.1 2.2 22.6 20.3 10.6 6.2 27.8 27.1
0.4 0.8 0.9 1.1 9.9 0.7 925.1 0.6 2.1 1.4 2.7 23.6 20.3 11.3 6.5 29 27.5
0.9 0.8 0.3 0.9 10.1 0.9 947.3 0.5 1.7 1.2 2.3 23.5 20.6 10.9 6.2 29.3 28.3
0.5 1.1 0.7 1 10 0.9 958.6 0.4 1.9 1.3 2.8 24 20.7 10.9 6.1 29.4 28
0.5 1.1 0.3 1.4 9.9 1.2 973.9 0.4 2.2 1.7 2.5 23.9 21.2 11 6.3 29.7 28.3
0.7 1 0.4 1.2 10.1 1.2 984.6 0.9 2 1.1 2.3 24.3 20.9 10.9 6.6 30.3 28.5
0.9 1.3 0.5 1 10.1 1.2 999.4 0.9 2.1 1.4 2.6 24.4 21.2 11.4 6.3 30.1 29.2
0.6 1.3 0.9 1.3 10.7 1.2 1003.9 0.9 2.1 1.6 2.9 24.2 21.4 11.3 6.3 30.4 29.2
0.5 1.2 0.9 1 10.6 1.1 1019 0.6 2 1.4 2.6 24.4 21.8 11.1 6.5 30.9 29.4
0.7 0.8 0.8 1.2 11 1.4 1030.2 0.4 2 1.8 2.8 24.8 21.9 11.4 6.2 31 30.1
0.7 1.3 0.4 1.4 11.1 1 1044 0.4 2 1.4 2.7 25 21.8 11.5 6.4 31.5 30.1
0.4 1.1 0.7 1.2 11 1.2 1063.3 0.9 1.8 1.5 2.8 25.1 21.8 11.5 6.5 31.9 30.7
0.6 1.3 0.5 1.3 11.2 1.2 1068.6 0.5 2.1 1.6 2.9 24.8 21.9 11.2 6.5 32 30.4
0.6 1.2 0.7 1.4 11 0.8 1081.7 0.8 2.2 1.7 3 24.9 22 11.4 6.2 31.7 30.8
0.5 1.1 0.5 1.1 11.2 1.3 1092.6 0.4 2.3 1.3 2.9 25.3 21.8 11.2 6.3 32.5 30.8
0.5 1.4 0.4 1.2 11.3 1.3 1105.8 0.8 2.3 1.7 2.9 25.5 22.1 11.1 6.7 32.3 31.4
0.9 0.9 0.7 1.2 11.4 1.3 1116.7 0.7 2 1.7 3 25.1 22 11.4 6.6 32.6 31.5
0.5 1 0.9 1.3 11.5 1.2 1134.3 0.6 2 1.8 2.9 25.2 21.9 11.1 6.3 33.1 31.7
0.5 1 0.5 1.6 11.7 0.9 1145.3 0.8 2.3 1.8 3.1 25.9 22.5 11.4 6.9 33.6 32
0.8 1.2 0.5 1.4 12.2 1.1 1157.3 0.8 2.3 1.8 3.2 25.9 22.3 11.7 6.8 33.7 32.1
0.5 1.2 0.3 1.4 11.9 1 1168.6 0.7 1.9 1.7 3 26.1 22.8 11.7 6.8 34 32.9
0.5 1.1 0.5 1.5 12.2 1.3 1181.2 0.4 2 1.4 3 26.3 23 11.5 6.5 34.1 33.1
0.9 1.1 0.6 1.4 12.4 1.2 1187.6 0.9 2.3 1.7 2.9 26.2 23.1 11.4 6.7 34.7 33.1
0.6 1.1 0.5 1.2 12.5 1.3 1193.8 0.6 2.3 1.8 3.1 26.4 22.8 11.7 6.7 34.6 33.2
0.8 1 0.9 1.2 12.5 1.4 1199.9 0.8 2.2 1.4 3.2 26.7 22.8 11.5 6.6 34.6 33.4
0.8 1.3 0.8 1.3 12.3 1.3 1211.2 0.5 2.4 1.6 2.7 26.7 23 11.5 7 35 33.7
0.5 1 0.9 1.1 12.7 1.1 1217.7 0.6 2 1.6 3.2 26.6 23 11.8 6.8 35.3 34
0.8 1.3 0.8 1.1 12.7 1.2 1223.8 0.4 2.3 1.6 2.9 26.5 22.8 11.4 7 35.1 34
0.9 1 0.6 1.3 12.9 1.1 1224.5 0.9 2.3 1.4 2.8 26.5 22.8 11.7 6.7 35.1 33.8
0.5 1.1 0.8 1.5 12.7 1.2 1231.3 0.4 1.9 1.9 3.1 26.3 22.7 11.6 7 34.9 34
0.8 1.2 0.6 1.4 13 1.1 1242.2 0.4 2.3 1.6 2.8 26.4 22.9 11.6 7 35.4 34
0.7 1.3 0.7 1.6 12.9 1.2 1248.9 0.5 2.4 1.5 2.9 26.7 23 11.6 6.6 35.5 34.3
0.9 1.4 0.5 1.2 13 1.4 1256 0.7 2.3 1.4 3.2 26.8 23.1 11.5 6.9 35.7 34.5
0.8 1.1 0.6 1.6 13 1.5 1266.6 0.5 2.4 1.4 3.2 26.6 22.9 11.8 7 35.9 34.6
0.7 1.5 0.5 1.2 13 1.4 1274.2 0.5 2.3 1.6 3.2 26.8 22.9 11.3 6.8 35.8 34.8
0.8 1.4 0.4 1.6 13.3 1.5 1281.1 0.9 2.2 1.8 2.9 26.7 23.1 11.4 7 35.9 34.6
0.7 1.3 0.6 1.5 13.4 1.2 1292.4 0.6 2.2 1.7 3 27 23.3 11.3 6.7 36.1 35.1
0.5 1 0.7 1.6 13.2 1 1299.5 0.5 2.3 1.9 3.3 27.2 23.1 11.4 7 36.4 35
0.6 1.4 0.7 1.7 13.4 1.2 1310.5 0.6 2.4 1.6 3.3 26.9 23.5 11.7 6.9 36.5 35.7
0.4 1.4 0.6 1.3 13.6 1.4 1318.1 0.6 2.4 1.7 3.4 27.1 23.2 11.4 6.8 36.7 35.6
0.7 1.2 0.6 1.4 13.9 1.4 1325.9 0.6 2 1.7 3.1 27.3 23.5 11.3 6.6 37.1 35.6
0.5 1 0.9 1.7 14 1.1 1336.9 0.6 2.1 1.8 3.2 27.4 23.4 11.3 6.8 37 35.9
0.5 1.1 0.8 1.4 13.7 1.5 1344.8 0.8 2.1 1.5 3 27.3 23.2 11.5 7 37.4 35.8
0.4 1.2 0.5 1.5 14.1 1.2 1353.2 0.4 2.3 1.5 3.4 27.3 23.4 11.5 7 37.6 36.2
0.8 1.4 0.8 1.6 13.9 1.1 1364.1 0.4 2.3 1.5 3.2 27.5 23.3 11.4 6.9 37.5 36.5
0.9 1.5 0.8 1.6 14.2 1.5 1375 0.6 2.1 1.9 3.2 27.3 23.6 11.5 6.7 38.1 36.7
0.7 1 0.8 1.3 14 1.2 1383.1 0.6 2 1.6 3.3 27.3 23.6 11.6 6.7 38 36.6
0.7 1.5 0.8 1.5 14.3 1.5 1388.3 0.5 2.4 1.6 3.2 27.3 23.5 11.4 6.8 37.8 36.8
0.7 1.3 0.6 1.4 14.7 1.4 1397.1 0.5 2.2 1.7 3.3 27.2 23.5 11.2 6.7 38.4 37
0.8 1.1 0.8 1.3 14.4 1.1 1408.3 0.8 2.1 1.9 3.2 27.5 23.3 11.5 6.6 38.2 36.9
0.9 1.3 0.4 1.6 14.7 1.2 1417 0.5 2.4 1.7 3.4 27.2 23.2 11.1 6.6 38.6 37.1
0.7 1.1 0.4 1.5 14.7 1.4 1426.1 0.6 2.4 1.9 3.2 27.4 23.3 11.4 6.8 38.5 37.5
0.5 1.4 0.8 1.7 14.8 1.1 1437.2 0.7 2.1 1.8 3.2 27.7 23.4 11.5 6.7 38.7 37.5
0.5 1.5 0.4 1.6 14.9 1.6 1446.7 0.5 2.4 1.7 3.3 27.5 23.4 11.2 6.6 39 37.6
0.8 1.2 0.8 1.4 14.9 1.2 1456.2 0.7 2.1 1.9 3.4 27.4 23.3 11.3 7 39 37.6
0.6 1.3 0.5 1.3 15.2 1.5 1465.7 0.7 2.2 1.9 3.3 27.6 23.3 10.9 6.9 38.9 38.1
0.9 1.5 0.5 1.7 15 1.5 1475.2 0.8 2.1 1.6 3.6 27.5 23.2 11 6.7 39.3 38.2
0.5 1.4 0.7 1.4 15.2 1.4 1479.3 0.6 2.4 1.7 3.4 27.3 23.2 11.1 6.8 39.2 38.2
0.9 1.1 0.5 1.4 15.4 1.5 1493 0.4 2.2 1.9 3.6 27.5 23 10.9 6.8 39.5 38.5
0.8 1.2 0.6 1.5 15.6 1.4 1502.8 0.6 2.1 1.7 3.7 27.2 23.2 10.8 6.6 39.6 38.5
0.6 1.2 0.5 1.5 15.8 1.6 1513.3 0.5 2.4 1.9 3.5 27.4 23.3 10.7 6.8 39.8 38.8
0.5 1.3 0.5 1.5 15.6 1.4 1523.2 0.7 2.1 1.7 3.7 27.6 23.5 10.9 6.8 40.1 38.9
0.8 1.3 0.5 1.6 16 1.3 1533.8 0.5 2.5 1.9 3.6 27.6 23.3 10.8 6.6 40.4 39.1
0.5 1.4 0.4 1.4 15.8 1.5 1544.9 0.6 2.3 1.8 3.5 27.2 23.2 10.6 6.8 40.4 38.8
0.5 1.2 0.4 1.5 15.8 1.3 1550.6 0.4 2.1 1.9 3.5 27.2 23 10.4 6.6 40.3 38.9
0.6 1.5 0.7 1.5 16.2 1.5 1561.1 0.8 2.2 1.8 3.5 27.2 22.7 10.5 6.8 40.5 39.2
0.5 1.5 0.8 1.5 16 1.4 1572.3 0.5 2.5 2 3.8 27.1 23 10.6 6.7 40.4 39.4
0.4 1.1 0.5 1.7 16.3 1.5 1583.4 0.6 2.3 1.9 3.7 27 22.7 10.6 6.7 40.9 39.4
0.4 1.4 0.5 1.7 16.4 1.4 1594.9 0.5 2.4 1.9 3.6 27 23 10.4 6.6 40.8 39.7
0.6 1.5 0.7 1.7 16.6 1.3 1606.5 0.8 2.2 1.9 3.8 27 23.1 10.5 6.5 41.1 39.9
0.6 1.6 0.5 1.7 16.8 1.5 1613.8 0.6 2.3 1.6 3.9 26.6 22.3 10.3 6.3 40.9 39.7
0.5 1.5 0.6 1.6 16.8 1.5 1625.4 0.7 2.4 1.9 3.8 26.6 22.7 10.1 6.3 41 39.7
0.7 1.4 0.5 1.7 17 1.3 1637.5 0.5 2.4 1.6 3.9 26.9 22.5 10.4 6.5 41.1 40.1
0.6 1.3 0.6 1.5 16.8 1.4 1649.6 0.8 2.4 2 3.7 26.8 22.8 10.4 6.6 41.4 40.1
0.4 1.4 0.6 1.8 17.2 1.5 1661.9 0.4 2.3 1.8 3.9 26.8 22.7 10.3 6.4 41.7 40.5
0.8 1.4 0.5 1.8 17.3 1.3 1674.2 0.7 2.4 1.8 3.8 26.8 22.8 10 6.4 41.6 40.6
0.8 1.6 0.8 1.7 17.5 1.6 1682.6 0.4 2.2 1.6 3.7 26.6 22 10.1 6.2 41.6 40.5
0.4 1.2 0.6 1.5 17.5 1.5 1695.4 0.4 2.3 1.7 3.8 26.4 22.2 9.8 6.4 41.6 40.7
0.8 1.3 0.8 1.8 17.5 1.6 1708.1 0.7 2.1 1.7 3.9 26.8 22.3 9.8 6.3 42 41
0.5 1.6 0.7 1.5 17.8 1.5 1721 0.6 2.1 1.9 3.9 26.5 22.4 9.9 6.4 42.3 41.3
0.5 1.6 0.7 1.7 18 1.4 1734.4 0.5 2.2 1.9 3.9 26.5 22.1 9.9 6.2 42.4 41.2
0.5 1.4 0.6 1.6 17.9 1.6 1743.5 0.5 2.1 1.7 3.8 26.3 21.7 9.5 6.5 42.1 41.5
0.6 1.3 0.7 1.5 18 1.6 1757 0.7 2.2 2.1 3.8 26.3 21.7 9.7 6.2 42.4 41.6
0.7 1.2 0.6 1.7 18.4 1.4 1770.3 0.4 2.4 1.7 4.2 26.4 21.7 9.4 6.2 42.8 41.5
0.6 1.5 0.8 1.5 18.5 1.6 1784.1 0.6 2.1 2 4.1 26.2 21.8 9.4 6.4 42.8 41.9
0.7 1.5 0.7 1.7 18.5 1.4 1797.7 0.7 2.3 1.9 4.2 26.4 21.9 9.6 6.4 43.1 41.9
0.7 1.5 0.7 1.8 18.8 1.5 1807.8 0.7 2.4 1.9 4.1 25.9 21.6 9.3 6 42.8 42.1
0.6 1.4 0.5 1.7 19 1.5 1821.5 0.4 2.2 1.8 4.3 26 21.7 9.3 6.3 43.2 42.1
0.7 1.2 0.7 1.7 19.1 1.6 1835.8 0.6 2.3 2 4 26.3 21.7 9.3 6.3 43.6 42.5
0.6 1.3 0.5 1.8 19.1 1.5 1849.6 0.6 2.3 1.8 4 26.3 21.5 9.2 6.3 43.6 42.8
0.5 1.3 0.7 1.6 19.2 1.7 1864.7 0.6 2.2 2 4.2 25.9 21.4 9 5.9 43.6 42.7
0.6 1.5 0.5 1.7 19.2 1.7 1878.8 0.7 2.3 1.9 4.4 25.9 21.4 8.9 6 43.8 42.9
0.6 1.5 0.6 1.7 19.3 1.5 1888.5 0.7 2.2 1.9 4.2 25.8 21.4 8.9 5.9 43.9 43.2
0.5 1.3 0.6 1.7 19.5 1.5 1902.3 0.5 2.4 2 4.3 26 21.5 8.8 6.3 44 43.3
0.8 1.4 0.8 1.9 19.7 1.5 1916.4 0.6 2.4 1.9 4.2 26 21.4 8.9 6.2 44.5 43.5
0.6 1.3 0.8 1.9 19.8 1.5 1931.5 0.4 2.2 2.1 4.4 25.7 21 8.5 5.9 44.3 43.6
0.7 1.5 0.6 1.6 20.1 1.7 1940.9 0.6 2.3 1.8 4.3 25.8 20.9 8.7 6 44.6 43.6
0.5 1.6 0.5 1.8 20.2 1.4 1955.1 0.7 2.2 2 4.5 25.7 21 8.4 6.1 44.6 43.7
0.5 1.4 0.5 1.8 20.3 1.6 1970 0.5 2.4 1.9 4.3 25.4 20.9 8.5 5.7 44.7 44.1
0.5 1.4 0.5 2 20.6 1.7 1983.7 0.5 2.3 1.9 4.5 25.5 20.7 8.5 5.8 45 44.1
0.7 1.4 0.7 1.9 20.5 1.6 1997.1 0.5 2.5 2.1 4.6 25.7 20.8 8.4 6 45.4 44.4
0.5 1.5 0.5 1.7 20.5 1.7 2010.3 0.5 2.2 1.9 4.5 25.9 21 8.3 6 45.4 44.7
0.5 1.5 0.7 1.7 20.9 1.8 2024.5 0.6 2.5 2.1 4.5 25.6 20.5 8.2 5.9 45.4 44.7
0.8 1.5 0.6 2 21 1.7 2037.1 0.6 2.2 1.9 4.5 25.5 20.6 8.1 5.9 45.5 45
0.6 1.6 0.5 1.8 21 1.7 2049.8 0.6 2.2 2.1 4.6 25.7 20.6 8.1 5.9 45.9 45
0.7 1.4 0.5 1.9 21.1 1.5 2061.9 0.6 2.3 2.1 4.7 25.7 20.8 8.2 5.8 46.1 45.3
0.5 1.6 0.5 1.8 21.3 1.8 2070.7 0.5 2.3 2.2 4.8 25.6 20.3 8.1 5.7 46 45.1
0.7 1.5 0.8 2 21.1 1.8 2071.2 0.6 2.4 2.2 4.6 24.8 20 7.5 5.5 45.8 45
0.6 1.6 0.7 2 21.6 1.6 2082.2 0.5 2.4 1.9 4.8 25.1 20 7.8 5.8 45.9 45.2
0.8 1.6 0.7 1.9 21.3 1.8 2089.5 0.6 2.3 2.2 4.8 24.5 19.6 7.5 5.6 45.5 45
0.7 1.5 0.5 1.8 21.7 1.6 2099.8 0.6 2.2 2.1 4.9 24.8 19.7 7.3 5.4 45.8 45.3
0.5 1.4 0.5 1.7 21.6 1.6 2109.2 0.4 2.2 2 4.8 24.9 19.8 7.3 5.4 46.1 45.5
0.6 1.5 0.7 1.8 21.6 1.7 2117.2 0.7 2.3 2.2 4.9 24.4 19.2 7.2 5.4 46 45.2
0.7 1.5 0.8 1.8 21.7 1.7 2125.7 0.4 2.2 2.1 4.7 24.4 19.4 7.1 5.5 46 45.5
0.8 1.6 0.7 2 21.8 1.8 2133.2 0.4 2.3 1.9 4.8 24.4 19.3 7.2 5.3 46 45.5
0.7 1.6 0.7 1.9 22.1 1.6 2140.5 0.4 2.3 2.1 5 24.5 19.3 7.1 5.6 46.2 45.7
0.7 1.6 0.6 1.9 22 1.8 2145.5 0.4 2.3 1.9 4.9 24.2 18.9 6.7 5.4 46.1 45.5
0.5 1.4 0.7 1.8 22.2 1.7 2151.3 0.6 2.2 1.9 4.9 24.2 19 6.9 5.3 46.1 45.7
0.8 1.5 0.7 2 21.9 1.6 2154.3 0.4 2.1 2.2 4.8 23.9 18.8 6.7 5.4 46.2 45.6
0.6 1.6 0.7 1.8 22.2 1.6 2157.4 0.7 2.1 2.1 4.8 23.5 18.3 6.3 5 45.8 45.4
0.6 1.5 0.7 2 22 1.9 2159.6 0.7 2.3 2.1 5 23.3 18 6.2 5 45.5 45.4
0.6 1.5 0.7 1.8 22 1.7 2161 0.6 2.3 2 5.1 23.3 18.1 6.1 4.8 45.7 45.2
0.6 1.5 0.8 2 22.1 1.9 2162.9 0.4 2.1 2 5 23 17.7 5.8 4.9 45.4 45
0.8 1.5 0.8 1.8 22.1 1.6 2163.1 0.4 2.1 2 5 22.7 17.6 5.6 4.8 45.3 44.9
0.5 1.3 0.5 1.8 22 1.8 2162.6 0.4 2.3 2.1 5 22.4 17.3 5.5 4.6 45.1 44.8
0.7 1.5 0.8 1.8 21.9 1.6 2161.8 0.6 2 2 5 22.1 17 5.5 4.5 44.8 44.8
0.5 1.5 0.6 1.8 22.2 1.9 2159.9 0.4 2.1 2 5.1 21.9 16.9 5.2 4.5 44.9 44.4
0.6 1.4 0.7 1.7 21.9 1.9 2157.7 0.5 2 1.9 5.1 21.9 16.9 5.2 4.5 44.9 44.5
0.5 1.5 0.8 1.8 21.9 1.7 2154.5 0.3 2.2 2.1 4.9 22.1 16.8 5.1 4.4 44.6 44.6
0.5 1.6 0.6 2 21.8 1.8 2150.7 0.6 2.2 2.1 4.9 22 16.9 5.2 4.6 44.5 44.3
0.5 1.6 0.5 1.7 21.9 1.8 2145.8 0.7 2.1 1.9 4.8 22.1 16.8 5.2 4.6 44.8 44.4
0.5 1.5 0.6 2 22.1 1.8 2140.4 0.4 2.1 2.1 4.7 22.1 16.9 5.3 4.6 44.6 44.2
0.7 1.4 0.5 2 22 1.7 2134.3 0.6 2.2 2 4.9 21.9 16.6 5.3 4.6 44.4 44
0.5 1.4 0.7 1.8 21.7 1.6 2127.7 0.6 2.3 2.2 4.7 21.9 16.7 5.3 4.5 44.2 44
0.6 1.5 0.8 2 21.6 1.6 2119.9 0.7 2 1.9 4.8 21.8 16.7 5.2 4.5 44.2 44.1
0.6 1.5 0.8 1.7 21.6 1.7 2111.8 0.7 2.3 1.9 4.7 21.9 16.6 5.4 4.4 43.9 44
0.5 1.4 0.6 1.7 21.6 1.9 2103.2 0.4 2.3 2.1 4.8 22 16.7 5.4 4.6 44 43.7
0.5 1.5 0.5 1.7 21.5 1.6 2094 0.6 2 2.1 4.9 21.7 16.8 5.2 4.4 43.7 43.5
0.8 1.4 0.5 1.9 21.4 1.8 2084.1 0.6 2.2 2 4.8 21.6 16.5 5.2 4.5 43.5 43.5
0.8 0.6 0.8 0.8 1 0.2 61.9 0.3 0.8 0.2 0.8 5.2 4 2.9 1.3 4.5 3.7
0.9 0.6 0.5 0.9 1.2 1 68.3 0.2 0.4 0.6 0.2 5.5 4.5 3.1 1.7 4.5 4
0.5 0.8 0.3 0.7 1.4 0.2 79.6 0.4 0.4 0.7 0.9 5.8 5.3 2.8 2 4.9 4.3
0.6 0.2 0.5 0.9 1.2 0.6 98 0.6 0.7 0.8 0.7 6.5 6.1 3.9 2 6.2 5.9
0.1 0.5 0.6 0.7 1.4 0.5 103.1 0.6 0.8 0.6 0.3 6.8 6.6 4.1 2.3 6.4 6.4
0.9 0.4 0.8 0.5 1.4 0.3 109.4 0.2 0.7 0.7 1.1 7.9 7.1 4.8 2.3 6.6 6.7
0.9 0.4 0.8 0.6 1.5 0.7 115.6 0.4 1.2 0.4 1.1 7.8 7.9 4.4 2.2 6.9 6.9
0.8 0.3 0.9 0.6 2 0.3 115.9 0.6 0.5 1.1 0.3 8.2 8 4.7 2.8 7 7
0.6 0.4 0.7 0.6 1.8 0.6 116.3 1 0.9 0.3 0.5 8.4 7.6 4.6 3 7.7 7.2
